Indicator,Description
Rand per US Dollar,Weighted average of the banks' daily rates at approximately 10:30 am. Weights are based on the banks' foreign exchange transactions.
,
Date,Value
 2022-04-11,14.623
 2022-04-08,14.7138
 2022-04-07,14.7201
 2022-04-06,14.6638
 2022-04-05,14.541
 2022-04-04,14.5838
 2022-04-01,14.581
 2022-03-31,14.4705
 2022-03-30,14.4699
 2022-03-29,14.6888
 2022-03-28,14.5392
 2022-03-25,14.543
 2022-03-24,14.7658
 2022-03-23,14.8161
 2022-03-22,14.8844
 2022-03-18,14.9391
 2022-03-17,14.9188
 2022-03-16,15.0519
 2022-03-15,15.1058
 2022-03-14,15.116
 2022-03-11,15.0824
 2022-03-10,15.081
 2022-03-09,15.1549
 2022-03-08,15.2774
 2022-03-07,15.3949
 2022-03-04,15.2827
 2022-03-03,15.3101
 2022-03-02,15.4697
 2022-03-01,15.2996
 2022-02-28,15.4488
 2022-02-25,15.326
 2022-02-24,15.266
 2022-02-23,15.0188
 2022-02-22,15.186
 2022-02-21,15.1015
 2022-02-18,14.9354
 2022-02-17,15.0097
 2022-02-16,15.0599
 2022-02-15,15.004
 2022-02-14,15.1965
 2022-02-11,15.1005
 2022-02-10,15.1408
 2022-02-09,15.3338
 2022-02-08,15.5402
 2022-02-07,15.459
 2022-02-04,15.2606
 2022-02-03,15.3907
 2022-02-02,15.2444
 2022-02-01,15.2809
 2022-01-31,15.5519
 2022-01-28,15.4935
 2022-01-27,15.3196
 2022-01-26,15.159
 2022-01-25,15.3214
 2022-01-24,15.1448
 2022-01-21,15.1567
 2022-01-20,15.249
 2022-01-19,15.4538
 2022-01-18,15.45
 2022-01-17,15.3867
 2022-01-14,15.32
 2022-01-13,15.2888
 2022-01-12,15.4829
 2022-01-11,15.5822
 2022-01-10,15.6629
 2022-01-07,15.7
 2022-01-06,15.9038
 2022-01-05,15.9978
 2022-01-04,15.9108
 2022-01-03,15.8667
 2021-12-31,15.8899
 2021-12-30,15.9757
 2021-12-29,15.7438
 2021-12-28,15.5657
 2021-12-24,15.6357
 2021-12-23,15.7546
 2021-12-22,15.8433
 2021-12-21,15.7976
 2021-12-20,15.833
 2021-12-17,15.8767
 2021-12-15,16.1452
 2021-12-14,16.0029
 2021-12-13,15.9357
 2021-12-10,16.0345
 2021-12-09,15.7129
 2021-12-08,15.8452
 2021-12-07,15.9067
 2021-12-06,15.9816
 2021-12-03,16.0342
 2021-12-02,15.9299
 2021-12-01,15.8403
 2021-11-30,16.1259
 2021-11-29,16.1446
 2021-11-26,16.319
 2021-11-25,15.8324
 2021-11-24,15.8218
 2021-11-23,15.8706
 2021-11-22,15.7408
 2021-11-19,15.6168
 2021-11-18,15.5338
 2021-11-17,15.4629
 2021-11-16,15.2169
 2021-11-15,15.2329
 2021-11-12,15.3157
 2021-11-11,15.4506
 2021-11-10,15.0427
 2021-11-09,14.9395
 2021-11-08,15.0333
 2021-11-05,15.2901
 2021-11-04,15.2595
 2021-11-03,15.3363
 2021-11-02,15.3667
 2021-10-29,15.2746
 2021-10-28,15.1399
 2021-10-27,14.9755
 2021-10-26,14.7038
 2021-10-25,14.7582
 2021-10-22,14.6151
 2021-10-21,14.4914
 2021-10-20,14.4943
 2021-10-19,14.5908
 2021-10-18,14.7218
 2021-10-15,14.6865
 2021-10-14,14.7195
 2021-10-13,14.8837
 2021-10-12,15.0142
 2021-10-11,14.9594
 2021-10-08,14.9389
 2021-10-07,14.9195
 2021-10-06,15.1718
 2021-10-05,15.028
 2021-10-04,14.9799
 2021-10-01,15.0323
 2021-09-30,15.136
 2021-09-29,15.0304
 2021-09-28,15.0546
 2021-09-27,15.038
 2021-09-23,14.6646
 2021-09-22,14.7729
 2021-09-21,14.7524
 2021-09-20,14.7972
 2021-09-17,14.6129
 2021-09-16,14.5068
 2021-09-15,14.2955
 2021-09-14,14.1664
 2021-09-13,14.1899
 2021-09-10,14.0946
 2021-09-09,14.1393
 2021-09-08,14.3348
 2021-09-07,14.3038
 2021-09-06,14.2647
 2021-09-03,14.4109
 2021-09-02,14.3228
 2021-09-01,14.4419
 2021-08-31,14.5371
 2021-08-30,14.66
 2021-08-27,14.9042
 2021-08-26,14.95
 2021-08-25,14.9299
 2021-08-24,15.1542
 2021-08-23,15.2842
 2021-08-20,15.353
 2021-08-19,15.162
 2021-08-18,14.9022
 2021-08-17,14.8828
 2021-08-16,14.7561
 2021-08-13,14.838
 2021-08-12,14.6961
 2021-08-11,14.8332
 2021-08-10,14.785
 2021-08-06,14.5415
 2021-08-05,14.389
 2021-08-04,14.2661
 2021-08-03,14.3188
 2021-08-02,14.5165
 2021-07-30,14.5593
 2021-07-29,14.6582
 2021-07-28,14.8094
 2021-07-27,14.9312
 2021-07-26,14.9691
 2021-07-23,14.7561
 2021-07-22,14.5493
 2021-07-21,14.7097
 2021-07-20,14.552
 2021-07-19,14.4782
 2021-07-16,14.4485
 2021-07-15,14.5185
 2021-07-14,14.7381
 2021-07-13,14.4932
 2021-07-12,14.3448
 2021-07-09,14.2773
 2021-07-08,14.4057
 2021-07-07,14.3567
 2021-07-06,14.2376
 2021-07-05,14.2423
 2021-07-02,14.4582
 2021-07-01,14.2968
 2021-06-30,14.3073
 2021-06-29,14.3303
 2021-06-28,14.2706
 2021-06-25,14.1637
 2021-06-24,14.2661
 2021-06-23,14.1554
 2021-06-22,14.3369
 2021-06-21,14.36
 2021-06-18,14.0811
 2021-06-17,14.0211
 2021-06-15,13.7491
 2021-06-14,13.7541
 2021-06-11,13.5667
 2021-06-10,13.6924
 2021-06-09,13.5425
 2021-06-08,13.5994
 2021-06-07,13.4949
 2021-06-04,13.6629
 2021-06-03,13.5237
 2021-06-02,13.7703
 2021-06-01,13.7467
 2021-05-31,13.7404
 2021-05-28,13.8194
 2021-05-27,13.6843
 2021-05-26,13.8295
 2021-05-25,13.852
 2021-05-24,13.9829
 2021-05-21,13.9859
 2021-05-20,14.0726
